iter	Passed	Remaining
151	1189	2723
152	1196	2714
153	1204	2706
154	1211	2697
155	1219	2689
156	1227	2681
157	1234	2673
158	1242	2665
159	1250	2657
160	1258	2650
161	1266	2641
162	1273	2633
163	1281	2624
164	1289	2617
165	1297	2609
166	1304	2601
167	1312	2592
168	1319	2584
169	1326	2575
170	1334	2567
171	1342	2559
172	1350	2552
173	1357	2543
174	1365	2535
175	1373	2527
176	1380	2520
177	1388	2511
178	1396	2504
179	1404	2496
180	1414	2492
181	1421	2484
182	1429	2476
183	1437	2468
184	1444	2459
185	1452	2452
186	1460	2444
187	1467	2436
188	1475	2428
189	1483	2420
190	1490	2412
191	1498	2404
192	1507	2397
193	1515	2389
194	1522	2381
195	1530	2373
196	1537	2365
197	1545	2357
198	1553	2349
199	1560	2341
200	1568	2333
201	1576	2325
202	1583	2317
203	1591	2309
204	1599	2301
205	1607	2293
206	1614	2285
207	1622	2277
208	1630	2269
209	1637	2261
210	1645	2254
211	1653	2245
212	1660	2237
213	1668	2229
214	1676	2221
215	1683	2214
216	1691	2206
217	1699	2198
218	1708	2191
219	1716	2184
220	1724	2176
221	1731	2168
222	1739	2160
223	1747	2152
224	1754	2144
225	1762	2136
226	1770	2128
227	1777	2120
228	1786	2113
229	1794	2106
230	1802	2098
231	1809	2090
232	1817	2082
233	1825	2074
234	1832	2066
235	1840	2058
236	1848	2050
237	1855	2043
238	1863	2035
239	1871	2027
240	1878	2019
241	1887	2012
242	1896	2005
243	1904	1998
244	1912	1990
245	1920	1983
246	1928	1975
247	1936	1968
248	1946	1961
249	1953	1953
250	1961	1945
251	1969	1937
252	1977	1930
253	1984	1922
254	1992	1914
255	2000	1906
256	2008	1898
257	2016	1891
258	2023	1883
259	2032	1876
260	2040	1868
261	2047	1860
262	2055	1852
263	2062	1843
264	2070	1836
265	2078	1828
266	2086	1820
267	2093	1812
268	2102	1805
269	2110	1798
270	2119	1790
271	2127	1783
272	2136	1776
273	2144	1769
274	2153	1761
275	2161	1754
276	2171	1748
277	2180	1741
278	2189	1734
279	2198	1727
280	2207	1720
281	2216	1713
282	2224	1706
283	2234	1699
284	2243	1692
285	2252	1685
286	2262	1679
287	2272	1672
288	2281	1665
289	2292	1660
290	2304	1654
291	2313	1648
292	2323	1641
293	2333	1635
294	2343	1628
295	2353	1622
296	2364	1616
297	2374	1609
298	2385	1603
299	2396	1597
300	2406	1591
301	2416	1584
302	2428	1578
303	2438	1572
304	2449	1566
305	2460	1559
306	2470	1553
307	2481	1546
308	2492	1540
309	2502	1534
310	2513	1527
311	2524	1520
312	2535	1514
313	2546	1508
314	2556	1501
315	2568	1495
316	2578	1488
317	2589	1482
318	2600	1475
319	2611	1469
320	2626	1464
321	2637	1457
322	2649	1451
323	2660	1445
324	2673	1439
325	2688	1434
326	2702	1429
327	2713	1422
328	2725	1416
329	2737	1410
330	2749	1403
331	2760	1397
332	2772	1390
333	2784	1383
334	2796	1377
335	2807	1370
336	2819	1363
337	2830	1356
338	2841	1349
339	2853	1342
340	2864	1335
341	2875	1328
342	2887	1321
343	2898	1314
344	2911	1307
345	2923	1301
346	2937	1295
347	2948	1287
348	2960	1280
349	2971	1273
350	2985	1267
351	2996	1260
352	3008	1252
353	3020	1245
354	3033	1239
355	3045	1231
356	3058	1224
357	3072	1218
358	3083	1211
359	3095	1203
360	3107	1196
361	3119	1189
362	3131	1181
363	3147	1176
364	3160	1169
365	3172	1161
366	3184	1154
367	3196	1146
368	3209	1139
369	3221	1131
370	3233	1124
371	3245	1116
372	3256	1108
373	3268	1101
374	3280	1093
375	3292	1085
376	3304	1078
377	3316	1070
378	3329	1063
379	3341	1055
380	3354	1047
381	3365	1039
382	3377	1031
383	3390	1024
384	3402	1016
385	3414	1008
386	3426	1000
387	3438	992
388	3450	984
389	3465	977
390	3478	969
391	3490	961
392	3501	953
393	3515	945
394	3527	937
395	3539	929
396	3551	921
397	3563	913
398	3574	904
399	3586	896
400	3598	888
401	3611	880
402	3623	872
403	3636	864
404	3649	856
405	3663	848
406	3677	840
407	3689	831
408	3701	823
409	3715	815
410	3728	807
411	3740	799
412	3752	790
413	3764	782
414	3776	773
415	3788	765
416	3800	756
417	3812	747
418	3824	739
419	3837	730
420	3851	722
421	3864	714
422	3876	705
423	3890	697
424	3902	688
425	3916	680
426	3928	671
427	3940	662
428	3952	654
429	3965	645
430	3978	636
431	3991	628
432	4003	619
433	4016	610
434	4028	601
435	4040	593
436	4051	584
437	4065	575
438	4078	566
439	4090	557
440	4102	548
441	4114	539
442	4127	531
443	4139	522
444	4150	513
445	4163	504
446	4175	495
447	4187	486
448	4199	477
449	4212	468
450	4224	459
451	4239	450
452	4252	441
453	4264	432
454	4276	422
455	4288	413
456	4300	404
457	4312	395
458	4325	386
459	4338	377
460	4353	368
461	4365	359
462	4378	349
463	4391	340
464	4403	331
465	4415	322
466	4427	312
467	4443	303
468	4456	294
469	4469	285
470	4481	275
471	4494	266
472	4506	257
473	4519	247
474	4532	238
475	4544	229
476	4556	219
477	4568	210
478	4580	200
479	4592	191
480	4605	181
481	4619	172
482	4636	163
483	4653	153
484	4665	144
485	4676	134
486	4689	125
487	4700	115
488	4713	106
489	4725	96
490	4737	86
491	4749	77
492	4762	67
493	4776	58
494	4788	48
495	4799	38
496	4813	29
497	4825	19
498	4837	9
499	4851	0
